Name	Gene	Input
ATP hydrolysis activity	nikE	1
ATP hydrolysis activity	yojI	1
ATP hydrolysis activity	yehL	1
ATP hydrolysis activity	fhuC	1
ATP hydrolysis activity	helD	1
ATP hydrolysis activity	thiQ	1
ATP hydrolysis activity	mglA	1
ATP hydrolysis activity	tcyN	1
ATP hydrolysis activity	sufC	1
ATP hydrolysis activity	fecE	1
ATP hydrolysis activity	mcrB	1
ATP hydrolysis activity	oppD	1
ATP hydrolysis activity	sapF	1
ATP hydrolysis activity	bcsQ	1
"endodeoxyribonuclease activity, producing 5'-phosphomonoesters"	endA	1
"endodeoxyribonuclease activity, producing 5'-phosphomonoesters"	rpnA	1
"endodeoxyribonuclease activity, producing 5'-phosphomonoesters"	tatD	1
"endodeoxyribonuclease activity, producing 5'-phosphomonoesters"	yjjV	1
"endodeoxyribonuclease activity, producing 5'-phosphomonoesters"	ycfH	1
regulation of catalytic activity	glnB	1
regulation of catalytic activity	rraB	1
regulation of catalytic activity	aceK	1
regulation of catalytic activity	ivy	1
regulation of catalytic activity	fre	1
regulation of catalytic activity	grpE	1
regulation of catalytic activity	lpoA	1
regulation of catalytic activity	ybeQ	1
regulation of catalytic activity	galF	1
regulation of catalytic activity	hycI	1
regulation of catalytic activity	hyaD	1
regulation of catalytic activity	tsf	1
regulation of catalytic activity	rarA	1
regulation of catalytic activity	dnaX	1
regulation of catalytic activity	ilvN	1
regulation of catalytic activity	hybD	1
regulation of catalytic activity	ppsR	1
regulation of catalytic activity	yjcO	1
regulation of catalytic activity	ilvH	1
protein domain specific binding	grpE	1
protein domain specific binding	btuB	1
protein domain specific binding	nusA	1
protein domain specific binding	tolB	1
protein domain specific binding	fepA	1
protein domain specific binding	cheW	1
protein domain specific binding	tonB	1
protein domain specific binding	fhuA	1
protein domain specific binding	hslV	1
protein domain specific binding	hslU	1
protein domain specific binding	tolA	1
"ligase activity, forming carbon-nitrogen bonds"	pncB	1
"ligase activity, forming carbon-nitrogen bonds"	ybdK	1
"ligase activity, forming carbon-nitrogen bonds"	tilS	1
"ligase activity, forming carbon-nitrogen bonds"	queC	1
"ligase activity, forming carbon-nitrogen bonds"	rimK	1
"ligase activity, forming carbon-nitrogen bonds"	gshB	1
efflux transmembrane transporter activity	ybhR	1
efflux transmembrane transporter activity	ybhS	1
efflux transmembrane transporter activity	ybhF	1
efflux transmembrane transporter activity	eamB	1
efflux transmembrane transporter activity	eamA	1
efflux transmembrane transporter activity	tqsA	1
efflux transmembrane transporter activity	tolC	1
efflux transmembrane transporter activity	acrF	1
efflux transmembrane transporter activity	mdtF	1
efflux transmembrane transporter activity	mdtP	1
efflux transmembrane transporter activity	acrB	1
efflux transmembrane transporter activity	cusC	1
efflux transmembrane transporter activity	macB	1
efflux transmembrane transporter activity	acrD	1
efflux transmembrane transporter activity	mdtA	1
efflux transmembrane transporter activity	macA	1
protein targeting	secA	1
protein targeting	secB	1
protein targeting	fliR	1
protein targeting	secD	1
protein targeting	secE	1
protein targeting	secY	1
protein targeting	secF	1
protein targeting	ftsY	1
intramolecular transferase activity	rluE	1
intramolecular transferase activity	rsuA	1
intramolecular transferase activity	scpA	1
intramolecular transferase activity	rluB	1
intramolecular transferase activity	rluF	1
intramolecular transferase activity	rbsD	1
regulation of DNA-templated transcription initiation	phoB	1
regulation of DNA-templated transcription initiation	oxyR	1
regulation of DNA-templated transcription initiation	cra	1
regulation of DNA-templated transcription initiation	hyfR	1
regulation of DNA-templated transcription initiation	fecR	1
regulation of DNA-templated transcription initiation	lsrR	1
regulation of DNA-templated transcription initiation	rpoS	1
regulation of DNA-templated transcription initiation	rpoH	1
regulation of DNA-templated transcription initiation	fliA	1
regulation of DNA-templated transcription initiation	rpoN	1
regulation of DNA-templated transcription initiation	rpoE	1
regulation of DNA-templated transcription initiation	fecI	1
regulation of DNA-templated transcription initiation	rpoD	1
regulation of DNA-templated transcription initiation	nhaR	1
regulation of DNA-templated transcription initiation	nac	1
ligase activity	cysS	1
ligase activity	lysS	1
ligase activity	kbl	1
ligase activity	lysU	1
ligase activity	tilS	1
ligase activity	nadE	1
ligase activity	fau	1
ligase activity	proS	1
ligase activity	glyS	1
ligase activity	ddlB	1
ligase activity	rtcA	1
ligase activity	ligA	1
ligase activity	ileS	1
ligase activity	valS	1
ligase activity	birA	1
ligase activity	murE	1
ligase activity	purD	1
ligase activity	entB	1
ligase activity	entF	1
ligase activity	murC	1
ligase activity	glnA	1
ligase activity	yjfC	1
ligase activity	purK	1
ligase activity	gshA	1
ligase activity	pinR	1
ligase activity	gltX	1
ligase activity	rimK	1
ligase activity	tcdA	1
ligase activity	rtcB	1
ligase activity	purC	1
ligase activity	mpl	1
ligase activity	leuS	1
ligase activity	pheS	1
ligase activity	ynfK	1
ligase activity	pncB	1
ligase activity	thrS	1
ligase activity	argS	1
ligase activity	asnA	1
ligase activity	aas	1
ligase activity	ybdK	1
ligase activity	alaS	1
ligase activity	hisS	1
ligase activity	purA	1
ligase activity	fadK	1
ligase activity	gss	1
ligase activity	carB	1
ligase activity	accC	1
ligase activity	murD	1
ligase activity	queC	1
ligase activity	pyrG	1
ligase activity	pinE	1
ligase activity	pinQ	1
ligase activity	entE	1
ligase activity	epmA	1
ligase activity	ygiC	1
ligase activity	fadD	1
ligase activity	prpE	1
ligase activity	caiC	1
ligase activity	guaA	1
ligase activity	dfp	1
ligase activity	hypF	1
ligase activity	citC	1
ligase activity	metG	1
ligase activity	glyQ	1
ligase activity	pheT	1
ligase activity	ddlA	1
ligase activity	puuA	1
ligase activity	asnB	1
ligase activity	sucD	1
ligase activity	lplA	1
ligase activity	yaiP	1
ligase activity	paaK	1
ligase activity	glnS	1
ligase activity	waaL	1
ligase activity	carA	1
ligase activity	murF	1
ligase activity	trpS	1
ligase activity	accA	1
ligase activity	ligB	1
ligase activity	aspS	1
ligase activity	gshB	1
ligase activity	menE	1
ligase activity	folC	1
ligase activity	argG	1
ligase activity	sucC	1
ligase activity	asnS	1
ligase activity	serS	1
ligase activity	purM	1
ligase activity	bioD	1
ligase activity	purL	1
ligase activity	gluQ	1
ligase activity	acs	1
ligase activity	panC	1
ligase activity	tyrS	1
"racemase and epimerase activity, acting on carbohydrates and derivatives"	galE	1
"racemase and epimerase activity, acting on carbohydrates and derivatives"	ycjR	1
"racemase and epimerase activity, acting on carbohydrates and derivatives"	frlC	1
"racemase and epimerase activity, acting on carbohydrates and derivatives"	fucU	1
"racemase and epimerase activity, acting on carbohydrates and derivatives"	nanM	1
"racemase and epimerase activity, acting on carbohydrates and derivatives"	yihR	1
"racemase and epimerase activity, acting on carbohydrates and derivatives"	yphB	1
"racemase and epimerase activity, acting on carbohydrates and derivatives"	sgcE	1
"racemase and epimerase activity, acting on carbohydrates and derivatives"	nanE	1
"racemase and epimerase activity, acting on carbohydrates and derivatives"	rpe	1
"racemase and epimerase activity, acting on carbohydrates and derivatives"	alsE	1
"racemase and epimerase activity, acting on carbohydrates and derivatives"	rhaM	1
cellular response to cell envelope stress	rcsF	1
cellular response to cell envelope stress	baeS	1
cellular response to cell envelope stress	ldtD	1
cellular response to cell envelope stress	igaA	1
cellular response to cell envelope stress	dgcN	1
cellular response to cell envelope stress	zraS	1
cellular response to cell envelope stress	nlpE	1
cellular response to cell envelope stress	ybaM	1
cellular response to cell envelope stress	acrZ	1
cellular response to cell envelope stress	yqcG	1
cellular response to cell envelope stress	zraP	1
cellular response to cell envelope stress	blr	1
cellular response to cell envelope stress	yobF	1
cellular response to cell envelope stress	cpxA	1
transmembrane signaling receptor activity	tap	1
transmembrane signaling receptor activity	tar	1
transmembrane signaling receptor activity	trg	1
transmembrane signaling receptor activity	aer	1
transmembrane signaling receptor activity	fecR	1
transmembrane signaling receptor activity	tsr	1
positive regulation of DNA-templated transcription initiation	baeR	1
positive regulation of DNA-templated transcription initiation	zraR	1
positive regulation of DNA-templated transcription initiation	yhaJ	1
positive regulation of DNA-templated transcription initiation	decR	1
positive regulation of DNA-templated transcription initiation	cecR	1
positive regulation of DNA-templated transcription initiation	fhlA	1
positive regulation of DNA-templated transcription initiation	sdiA	1
positive regulation of DNA-templated transcription initiation	norR	1
positive regulation of DNA-templated transcription initiation	slyA	1
positive regulation of DNA-templated transcription initiation	mntR	1
positive regulation of DNA-templated transcription initiation	nhaR	1
positive regulation of DNA-templated transcription initiation	csgD	1
positive regulation of DNA-templated transcription initiation	argR	1
positive regulation of DNA-templated transcription initiation	lldR	1
negative regulation of DNA-templated transcription initiation	cecR	1
negative regulation of DNA-templated transcription initiation	modE	1
negative regulation of DNA-templated transcription initiation	dinJ	1
negative regulation of DNA-templated transcription initiation	argR	1
negative regulation of DNA-templated transcription initiation	torI	1
negative regulation of DNA-templated transcription initiation	glaR	1
negative regulation of DNA-templated transcription initiation	slyA	1
negative regulation of DNA-templated transcription initiation	csqR	1
negative regulation of DNA-templated transcription initiation	mraZ	1
negative regulation of DNA-templated transcription initiation	racR	1
negative regulation of DNA-templated transcription initiation	paaX	1
negative regulation of DNA-templated transcription initiation	nikR	1
negative regulation of DNA-templated transcription initiation	deoR	1
negative regulation of DNA-templated transcription initiation	dgoR	1
negative regulation of DNA-templated transcription initiation	lldR	1
"intramolecular oxidoreductase activity, interconverting aldoses and ketoses"	ulaE	1
"intramolecular oxidoreductase activity, interconverting aldoses and ketoses"	fucI	1
"intramolecular oxidoreductase activity, interconverting aldoses and ketoses"	lsrG	1
"intramolecular oxidoreductase activity, interconverting aldoses and ketoses"	araA	1
"intramolecular oxidoreductase activity, interconverting aldoses and ketoses"	kduI	1
"intramolecular oxidoreductase activity, interconverting aldoses and ketoses"	sgbU	1
L-valine transmembrane transporter activity	livF	1
L-valine transmembrane transporter activity	livG	1
L-valine transmembrane transporter activity	livM	1
L-valine transmembrane transporter activity	brnQ	1
L-valine transmembrane transporter activity	livH	1
fatty acid beta-oxidation	fadB	1
fatty acid beta-oxidation	fadM	1
fatty acid beta-oxidation	fadI	1
fatty acid beta-oxidation	fadJ	1
fatty acid beta-oxidation	fadA	1
fatty acid beta-oxidation	fadD	1
fatty acid beta-oxidation	fadE	1
fatty acid beta-oxidation	fadK	1
fatty acid beta-oxidation	fadH	1
fatty acid beta-oxidation	scpB	1
fatty acid beta-oxidation	yqeF	1
fatty acid beta-oxidation	atoB	1
fatty acid beta-oxidation	paaF	1
fatty acid beta-oxidation	paaH	1
fatty acid beta-oxidation	paaJ	1
fatty acid beta-oxidation	paaG	1
inorganic phosphate transmembrane transporter activity	pstA	1
inorganic phosphate transmembrane transporter activity	pstB	1
inorganic phosphate transmembrane transporter activity	pitB	1
inorganic phosphate transmembrane transporter activity	yjbB	1
inorganic phosphate transmembrane transporter activity	pitA	1
inorganic phosphate transmembrane transporter activity	pstC	1
tRNA pseudouridine synthase activity	rluA	1
tRNA pseudouridine synthase activity	truD	1
tRNA pseudouridine synthase activity	rluF	1
tRNA pseudouridine synthase activity	truB	1
tRNA pseudouridine synthase activity	truA	1
tRNA pseudouridine synthase activity	truC	1
fatty acid biosynthetic process	fabZ	1
fatty acid biosynthetic process	acpH	1
fatty acid biosynthetic process	accA	1
fatty acid biosynthetic process	fabA	1
fatty acid biosynthetic process	accD	1
fatty acid biosynthetic process	fabB	1
fatty acid biosynthetic process	accC	1
fatty acid biosynthetic process	acpT	1
fatty acid biosynthetic process	accB	1
fatty acid biosynthetic process	fabY	1
fatty acid biosynthetic process	acpP	1
fatty acid biosynthetic process	fabG	1
fatty acid biosynthetic process	fabD	1
fatty acid biosynthetic process	acpS	1
fatty acid biosynthetic process	fabR	1
fatty acid biosynthetic process	fabI	1
fatty acid biosynthetic process	cfa	1
fatty acid biosynthetic process	fabF	1
fatty acid biosynthetic process	fabH	1
fatty acid biosynthetic process	plsX	1
fatty acid metabolic process	aas	1
fatty acid metabolic process	fadD	1
fatty acid metabolic process	plsB	1
fatty acid metabolic process	fabH	1
fatty acid metabolic process	accB	1
fatty acid metabolic process	fabA	1
fatty acid metabolic process	fabR	1
fatty acid metabolic process	accD	1
fatty acid metabolic process	atoA	1
fatty acid metabolic process	acpS	1
fatty acid metabolic process	paaF	1
fatty acid metabolic process	fabB	1
fatty acid metabolic process	fadJ	1
fatty acid metabolic process	fadE	1
fatty acid metabolic process	acpH	1
fatty acid metabolic process	fadA	1
fatty acid metabolic process	fabI	1
fatty acid metabolic process	fabG	1
fatty acid metabolic process	fadK	1
fatty acid metabolic process	accC	1
fatty acid metabolic process	atoD	1
fatty acid metabolic process	atoB	1
fatty acid metabolic process	fadI	1
fatty acid metabolic process	fadB	1
fatty acid metabolic process	fabF	1
fatty acid metabolic process	fadR	1
fatty acid metabolic process	fabD	1
fatty acid metabolic process	paaH	1
fatty acid metabolic process	accA	1
fatty acid metabolic process	acpP	1
fatty acid metabolic process	ahr	1
fatty acid metabolic process	yciA	1
Holliday junction resolvase complex	xerD	1
Holliday junction resolvase complex	xerC	1
Holliday junction resolvase complex	ruvB	1
Holliday junction resolvase complex	ruvC	1
Holliday junction resolvase complex	ruvA	1
lipid metabolic process	fadD	1
lipid metabolic process	plsB	1
lipid metabolic process	psd	1
lipid metabolic process	clsC	1
lipid metabolic process	fabZ	1
lipid metabolic process	arnF	1
lipid metabolic process	accB	1
lipid metabolic process	cdh	1
lipid metabolic process	pgpC	1
lipid metabolic process	fabA	1
lipid metabolic process	arnA	1
lipid metabolic process	clsA	1
lipid metabolic process	fabR	1
lipid metabolic process	tesA	1
lipid metabolic process	pgsA	1
lipid metabolic process	yjjU	1
lipid metabolic process	accD	1
lipid metabolic process	atoA	1
lipid metabolic process	acpS	1
lipid metabolic process	paaF	1
lipid metabolic process	lpxD	1
lipid metabolic process	fabB	1
lipid metabolic process	fabY	1
lipid metabolic process	fadJ	1
lipid metabolic process	fadE	1
lipid metabolic process	arnD	1
lipid metabolic process	acpH	1
lipid metabolic process	eptA	1
lipid metabolic process	fadA	1
lipid metabolic process	lpxC	1
lipid metabolic process	fabI	1
lipid metabolic process	lpxK	1
lipid metabolic process	tesB	1
lipid metabolic process	fabG	1
lipid metabolic process	arnB	1
lipid metabolic process	fadK	1
lipid metabolic process	pssA	1
lipid metabolic process	accC	1
lipid metabolic process	atoD	1
lipid metabolic process	ybgC	1
lipid metabolic process	plsY	1
lipid metabolic process	ugpQ	1
lipid metabolic process	pgpA	1
lipid metabolic process	atoB	1
lipid metabolic process	fadI	1
lipid metabolic process	dgkA	1
lipid metabolic process	cfa	1
lipid metabolic process	fadB	1
lipid metabolic process	fabF	1
lipid metabolic process	yegS	1
lipid metabolic process	fadR	1
lipid metabolic process	fabH	1
lipid metabolic process	lpxB	1
lipid metabolic process	clsB	1
lipid metabolic process	arnT	1
lipid metabolic process	eptB	1
lipid metabolic process	fabD	1
lipid metabolic process	pldA	1
lipid metabolic process	hdhA	1
lipid metabolic process	lpxH	1
lipid metabolic process	glpQ	1
lipid metabolic process	pgpB	1
lipid metabolic process	accA	1
lipid metabolic process	pldB	1
lipid metabolic process	arnE	1
lipid metabolic process	eptC	1
lipid metabolic process	acpP	1
lipid metabolic process	gpsA	1
lipid metabolic process	cdsA	1
lipid metabolic process	ahr	1
lipid metabolic process	lpxA	1
lipid metabolic process	rssA	1
lipid metabolic process	plsC	1
lipid metabolic process	plsX	1
lipid metabolic process	arnC	1
lipid metabolic process	blc	1
carbohydrate:proton symporter activity	lacY	1
carbohydrate:proton symporter activity	setB	1
carbohydrate:proton symporter activity	nanT	1
carbohydrate:proton symporter activity	gntP	1
carbohydrate:proton symporter activity	frvB	1
carbohydrate:proton symporter activity	fruA	1
carbohydrate:proton symporter activity	frwC	1
carbohydrate:proton symporter activity	mngA	1
carbohydrate:proton symporter activity	kdgT	1
carbohydrate:proton symporter activity	setA	1
carbohydrate:proton symporter activity	setC	1
alcohol dehydrogenase (NAD+) activity	adhP	1
alcohol dehydrogenase (NAD+) activity	adhE	1
alcohol dehydrogenase (NAD+) activity	eutG	1
alcohol dehydrogenase (NAD+) activity	yiaY	1
alcohol dehydrogenase (NAD+) activity	frmA	1
alcohol dehydrogenase (NAD+) activity	fucO	1
negative regulation of cell growth	mazF	1
negative regulation of cell growth	chpB	1
negative regulation of cell growth	ssnA	1
negative regulation of cell growth	ykfI	1
negative regulation of cell growth	yhaV	1
negative regulation of cell growth	ybjN	1
negative regulation of cell growth	yodE	1
aldehyde dehydrogenase (NAD+) activity	aldB	1
aldehyde dehydrogenase (NAD+) activity	patD	1
aldehyde dehydrogenase (NAD+) activity	astD	1
aldehyde dehydrogenase (NAD+) activity	eutE	1
aldehyde dehydrogenase (NAD+) activity	betB	1
aminoacyl-tRNA metabolism involved in translational fidelity	yeaK	1
aminoacyl-tRNA metabolism involved in translational fidelity	proS	1
aminoacyl-tRNA metabolism involved in translational fidelity	ileS	1
aminoacyl-tRNA metabolism involved in translational fidelity	valS	1
aminoacyl-tRNA metabolism involved in translational fidelity	leuS	1
aminoacyl-tRNA metabolism involved in translational fidelity	thrS	1
aminoacyl-tRNA metabolism involved in translational fidelity	alaS	1
aminoacyl-tRNA metabolism involved in translational fidelity	ybaK	1
aminoacyl-tRNA metabolism involved in translational fidelity	dtd	1
plasma membrane protein complex	lolE	1
plasma membrane protein complex	lolC	1
plasma membrane protein complex	tonB	1
plasma membrane protein complex	exbB	1
plasma membrane protein complex	lolD	1
plasma membrane protein complex	exbD	1
efflux pump complex	acrB	1
efflux pump complex	tolC	1
efflux pump complex	acrA	1
efflux pump complex	mdtA	1
efflux pump complex	macA	1
nucleoside transmembrane transporter activity	xapB	1
nucleoside transmembrane transporter activity	nupC	1
nucleoside transmembrane transporter activity	psuT	1
nucleoside transmembrane transporter activity	nupG	1
nucleoside transmembrane transporter activity	tsx	1
nucleoside transmembrane transporter activity	nupX	1
nucleoside transmembrane transporter activity	yegT	1
carbohydrate catabolic process	araB	1
carbohydrate catabolic process	deoC	1
carbohydrate catabolic process	sgbH	1
carbohydrate catabolic process	bglA	1
carbohydrate catabolic process	ascB	1
carbohydrate catabolic process	rhmD	1
carbohydrate catabolic process	bglB	1
protein insertion into membrane	yidC	1
protein insertion into membrane	bamB	1
protein insertion into membrane	bamE	1
protein insertion into membrane	bamA	1
protein insertion into membrane	bamD	1
protein insertion into membrane	yidD	1
protein insertion into membrane	bamC	1
dioxygenase activity	alkB	1
dioxygenase activity	roxA	1
dioxygenase activity	mhpB	1
dioxygenase activity	yhhW	1
dioxygenase activity	hcaF	1
dioxygenase activity	tauD	1
dioxygenase activity	glaH	1
dioxygenase activity	hcaE	1
dioxygenase activity	ygiD	1
dioxygenase activity	ybiX	1
lipid catabolic process	pgpC	1
lipid catabolic process	yjjU	1
lipid catabolic process	fadJ	1
lipid catabolic process	fadA	1
lipid catabolic process	pgpA	1
lipid catabolic process	fadI	1
lipid catabolic process	fadB	1
lipid catabolic process	pldA	1
lipid catabolic process	hdhA	1
lipid catabolic process	pgpB	1
lipid catabolic process	rssA	1
protein-DNA complex	hipB	1
protein-DNA complex	hipA	1
protein-DNA complex	recT	1
protein-DNA complex	insI1	1
protein-DNA complex	fnr	1
protein-DNA complex	malI	1
protein-DNA complex	relB	1
protein-DNA complex	csgD	1
protein-DNA complex	nikR	1
protein-DNA complex	relE	1
protein-DNA complex	lrp	1
protein-DNA complex	araC	1
protein-DNA complex	rpoN	1
protein-DNA complex	fur	1
protein-DNA complex	phoP	1
protein-DNA complex	narL	1
protein-DNA complex	arcA	1
protein-DNA complex	cueR	1
protein-DNA complex	hns	1
protein-DNA complex	crp	1
protein-DNA complex	zur	1
protein-DNA complex	leuO	1
protein-DNA complex	lexA	1
protein-DNA complex	fis	1
protein-DNA complex	ihfA	1
protein-DNA complex	alkA	1
protein-DNA complex	rssB	1
protein-DNA complex	phoB	1
protein-DNA complex	cadC	1
protein-DNA complex	torR	1
protein-DNA complex	hcaR	1
protein-DNA complex	ompR	1
protein-DNA complex	hprR	1
protein-DNA complex	kdpE	1
protein-DNA complex	rstA	1
protein-DNA complex	xapR	1
protein-DNA complex	ynfL	1
protein-DNA complex	creB	1
protein-DNA complex	stpA	1
protein-DNA complex	btsR	1
protein-DNA complex	pyrR	1
protein-DNA complex	baeR	1
protein-DNA complex	qseB	1
protein-DNA complex	cusR	1
protein-DNA complex	oxyR	1
protein-DNA complex	cpxR	1
protein-DNA complex	cynR	1
protein-DNA complex	basR	1
protein-containing complex	folE	1
protein-containing complex	glsA	1
protein-containing complex	grpE	1
protein-containing complex	yeaW	1
protein-containing complex	betB	1
protein-containing complex	tdcB	1
protein-containing complex	arnA	1
protein-containing complex	mazF	1
protein-containing complex	hpt	1
protein-containing complex	dnaK	1
protein-containing complex	feaB	1
protein-containing complex	casC	1
protein-containing complex	gmhA	1
protein-containing complex	rihB	1
protein-containing complex	kdsA	1
protein-containing complex	galU	1
protein-containing complex	patD	1
protein-containing complex	cutA	1
protein-containing complex	yeiG	1
protein-containing complex	patZ	1
protein-containing complex	cpoB	1
protein-containing complex	yfcE	1
protein-containing complex	maa	1
protein-containing complex	kch	1
protein-containing complex	yihU	1
protein-containing complex	rihA	1
protein-containing complex	tolB	1
protein-containing complex	dcd	1
protein-containing complex	cmoB	1
protein-containing complex	chbA	1
protein-containing complex	ridA	1
protein-containing complex	uidA	1
protein-containing complex	fabI	1
protein-containing complex	metF	1
protein-containing complex	gabD	1
protein-containing complex	ppnN	1
protein-containing complex	metC	1
protein-containing complex	casB	1
protein-containing complex	yrdA	1
protein-containing complex	araD	1
protein-containing complex	rhaA	1
protein-containing complex	gpt	1
protein-containing complex	pdxH	1
protein-containing complex	pyrG	1
protein-containing complex	casE	1
protein-containing complex	norV	1
protein-containing complex	udp	1
protein-containing complex	mazE	1
protein-containing complex	nagA	1
protein-containing complex	kbaY	1
protein-containing complex	atoB	1
protein-containing complex	aldA	1
protein-containing complex	ychN	1
protein-containing complex	entA	1
protein-containing complex	rraA	1
protein-containing complex	gldA	1
protein-containing complex	seqA	1
protein-containing complex	ansB	1
protein-containing complex	ilvC	1
protein-containing complex	guaB	1
protein-containing complex	wrbA	1
protein-containing complex	glaH	1
protein-containing complex	tnaA	1
protein-containing complex	poxB	1
protein-containing complex	casA	1
protein-containing complex	psuG	1
protein-containing complex	hdhA	1
protein-containing complex	dnaJ	1
protein-containing complex	dut	1
protein-containing complex	rapZ	1
protein-containing complex	casD	1
protein-containing complex	pepP	1
protein-containing complex	ydfG	1
protein-containing complex	csrD	1
protein-containing complex	moaC	1
protein-containing complex	hiuH	1
protein-containing complex	menE	1
protein-containing complex	srlD	1
protein-containing complex	speG	1
protein-containing complex	yfgM	1
protein-containing complex	fbp	1
cell pole	minD	1
cell pole	ybgI	1
cell pole	yjbJ	1
cell pole	pspA	1
cell pole	rbbA	1
cell pole	dgcZ	1
cell pole	tnaA	1
cell pole	minC	1
cell pole	ghoT	1
cell pole	yqjD	1
viral process	dnaJ	1
viral process	yfdM	1
viral process	yfdQ	1
viral process	hsdR	1
viral process	trxA	1
viral process	ompA	1
viral process	clpX	1
viral process	hsdM	1
viral process	lamB	1
protein maturation by iron-sulfur cluster transfer	hscA	1
protein maturation by iron-sulfur cluster transfer	hscB	1
protein maturation by iron-sulfur cluster transfer	nfuA	1
protein maturation by iron-sulfur cluster transfer	sufA	1
protein maturation by iron-sulfur cluster transfer	erpA	1
protein maturation by iron-sulfur cluster transfer	iscA	1
cellular response to phosphate starvation	appA	1
cellular response to phosphate starvation	appY	1
cellular response to phosphate starvation	waaH	1
cellular response to phosphate starvation	iraP	1
cellular response to phosphate starvation	phoR	1
cellular response to phosphate starvation	ytfK	1
cellular response to phosphate starvation	phoU	1
cellular response to phosphate starvation	psiE	1
zinc ion transmembrane transporter activity	zntB	1
zinc ion transmembrane transporter activity	zitB	1
zinc ion transmembrane transporter activity	pitA	1
